,crdc_id,year,ncessch,leaid,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
215,060002910590,2011,060002910590,0600029,2370756.0,3187847.0,2371944.0,,,,73333.0,,,
216,060002911044,2011,060002911044,0600029,2429911.0,2984556.0,2486519.0,,,,93533.0,,,
217,060002911239,2011,060002911239,0600029,2288738.0,2853247.0,2344319.0,,,,138667.0,,,
218,060002911241,2011,060002911241,0600029,315246.0,468967.0,315246.0,,,,19389.0,,,
219,060002911249,2011,060002911249,0600029,8293599.0,11384077.0,8323125.0,,,,290326.0,,,
220,060002911921,2011,060002911921,0600029,2910404.0,3469314.0,2970653.0,,,,99737.0,,,
221,060002912243,2011,060002912243,0600029,2463609.0,3218526.0,2463609.0,,,,82248.0,,,
222,060002912289,2011,060002912289,0600029,5588003.0,7730198.0,5602115.0,,,,264433.0,,,
223,060003109475,2011,060003109475,0600031,182735.0,264052.0,193056.0,,,,242368.0,,,
224,060003112240,2011,060003112240,0600031,188425.0,233761.0,188425.0,,,,199768.0,,,
225,060003202227,2011,060003202227,0600032,478605.0,688228.0,497171.0,,,,35596.0,,,
226,060003204949,2011,060003204949,0600032,2469694.0,3023551.0,2518581.0,,,,219118.0,,,
227,060003204950,2011,060003204950,0600032,1592258.0,1911159.0,1622147.0,,,,196204.0,,,
228,060003204951,2011,060003204951,0600032,1258464.0,1490794.0,1266319.0,,,,159024.0,,,
229,060003204952,2011,060003204952,0600032,1203108.0,1423525.0,1215304.0,,,,115462.0,,,
230,060003204955,2011,060003204955,0600032,2195346.0,2762776.0,2229428.0,,,,159702.0,,,
231,060003204956,2011,060003204956,0600032,1818210.0,2128077.0,1836771.0,,,,225435.0,,,
232,060003204957,2011,060003204957,0600032,1362217.0,1686975.0,1387579.0,,,,136827.0,,,
233,060003204958,2011,060003204958,0600032,1331238.0,1556864.0,1331238.0,,,,208785.0,,,
234,060003204960,2011,060003204960,0600032,1205564.0,1527221.0,1224051.0,,,,169483.0,,,
235,060003204961,2011,060003204961,0600032,1614580.0,1925191.0,1660484.0,,,,175052.0,,,
236,060003206330,2011,060003206330,0600032,6529078.0,9148627.0,7023306.0,,,,883742.0,,,
237,060003212165,2011,060003212165,0600032,75000.0,174322.0,84539.0,,,,1912.0,,,
238,060003301255,2011,060003301255,0600033,1102616.0,1517955.0,1102616.0,,,,415339.0,,,
239,060003301256,2011,060003301256,0600033,1414164.0,1817824.0,1414164.0,,,,403660.0,,,
