,crdc_id,year,ncessch,leaid,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,counselors_fte,psychologists_fte,social_workers_fte,nurses_fte,security_guard_fte,law_enforcement_fte,law_enforcement_ind
168,060002712001,2011,060002712001,0600027,35.0,35.2,,0.0,0.0,,,0.0,,,,,,,
169,060002712094,2011,060002712094,0600027,4.0,4.5,,0.0,0.0,,,0.0,0.0,,,,,,
170,060002712772,2011,060002712772,0600027,46.0,46.3,,0.0,2.0,,,0.0,,,,,,,
171,060002799999,2011,060002712914,0600027,13.0,13.31,,1.0,1.0,,,0.0,0.0,,,,,,
172,060002803647,2011,060002803647,0600028,49.0,49.6,,0.0,0.0,,,5.0,,,,,,,
173,060002803648,2011,060002803648,0600028,19.0,19.0,,0.0,0.0,,,0.0,,,,,,,
174,060002805012,2011,060002805012,0600028,26.0,26.0,,0.0,0.0,,,1.0,,,,,,,
175,060002806276,2011,060002806276,0600028,23.0,23.0,,0.0,0.0,,,6.0,,,,,,,
176,060002807222,2011,060002807222,0600028,111.0,106.6,,3.0,1.0,,,25.0,5.0,,,,,,
177,060002807223,2011,060002807223,0600028,31.0,31.0,,0.0,0.0,,,0.0,,,,,,,
178,060002808270,2011,060002808270,0600028,15.0,15.0,,0.0,0.0,,,3.0,,,,,,,
179,060002808271,2011,060002808271,0600028,36.0,36.0,,0.0,0.0,,,13.0,,,,,,,
180,060002808272,2011,060002808272,0600028,39.0,39.0,,0.0,0.0,,,5.0,,,,,,,
181,060002808564,2011,060002808564,0600028,47.0,47.6,,3.0,4.0,,,5.0,1.0,,,,,,
182,060002809499,2011,060002809499,0600028,114.0,114.8,,2.0,3.0,,,20.0,4.5,,,,,,
183,060002809500,2011,060002809500,0600028,13.0,13.0,,0.0,0.0,,,2.0,2.0,,,,,,
184,060002809501,2011,060002809501,0600028,47.0,47.0,,0.0,2.0,,,4.0,,,,,,,
185,060002809502,2011,060002809502,0600028,30.0,30.0,,0.0,0.0,,,1.0,,,,,,,
186,060002809503,2011,060002809503,0600028,22.0,22.0,,0.0,0.0,,,4.0,,,,,,,
187,060002809505,2011,060002809505,0600028,33.0,33.0,,0.0,0.0,,,7.0,,,,,,,
188,060002809506,2011,060002809506,0600028,26.0,26.0,,0.0,0.0,,,0.0,,,,,,,
189,060002809684,2011,060002809684,0600028,34.0,34.0,,1.0,0.0,,,6.0,,,,,,,
190,060002810282,2011,060002810282,0600028,21.0,21.0,,0.0,0.0,,,2.0,,,,,,,
191,060002810353,2011,060002810353,0600028,35.0,35.0,,0.0,0.0,,,0.0,,,,,,,
192,060002810589,2011,060002810589,0600028,7.0,7.5,,0.0,0.0,,,0.0,2.0,,,,,,
193,060002811038,2011,060002811038,0600028,116.0,116.4,,4.0,3.0,,,28.0,6.0,,,,,,
194,060002811039,2011,060002811039,0600028,33.0,33.0,,0.0,0.0,,,1.0,,,,,,,
195,060002811040,2011,060002811040,0600028,48.0,48.5,,0.0,1.0,,,9.0,,,,,,,
196,060002811041,2011,060002811041,0600028,30.0,30.0,,0.0,0.0,,,9.0,,,,,,,
197,060002811042,2011,060002811042,0600028,29.0,29.0,,0.0,0.0,,,7.0,,,,,,,
198,060002811043,2011,060002811043,0600028,33.0,33.0,,0.0,0.0,,,6.0,,,,,,,
199,060002811170,2011,060002811170,0600028,38.0,38.0,,0.0,0.0,,,3.0,,,,,,,
200,060002811187,2011,060002811187,0600028,42.0,42.2,,1.0,0.5,,,8.0,,,,,,,
201,060002811838,2011,060002811838,0600028,38.0,38.0,,0.0,0.0,,,6.0,,,,,,,
202,060002812568,2011,060002812568,0600028,4.0,4.5,,2.0,0.0,,,0.0,,,,,,,
203,060002902467,2011,060002902467,0600029,10.0,10.0,,0.0,0.0,,,5.0,1.0,,,,,,
204,060002903649,2011,060002903649,0600029,61.0,61.0,,0.0,0.0,,,47.0,,,,,,,
205,060002906282,2011,060002906282,0600029,33.0,33.0,,0.0,0.0,,,26.0,,,,,,,
206,060002908565,2011,060002908565,0600029,46.0,46.0,,0.0,0.0,,,35.0,,,,,,,
207,060002909507,2011,060002909507,0600029,40.0,40.0,,0.0,0.0,,,27.0,,,,,,,
208,060002909508,2011,060002909508,0600029,32.0,32.0,,0.0,0.0,,,21.0,,,,,,,
209,060002909509,2011,060002909509,0600029,30.0,30.0,,0.0,0.0,,,17.0,,,,,,,
210,060002909510,2011,060002909510,0600029,29.0,29.0,,0.0,1.0,,,20.0,,,,,,,
211,060002909511,2011,060002909511,0600029,34.0,34.0,,0.0,0.0,,,28.0,,,,,,,
212,060002909685,2011,060002909685,0600029,107.0,107.0,,1.0,0.0,,,46.0,4.0,,,,,,
213,060002909686,2011,060002909686,0600029,51.0,51.0,,2.0,0.0,,,32.0,,,,,,,
214,060002910354,2011,060002910354,0600029,45.0,45.0,,0.0,0.0,,,34.0,,,,,,,
215,060002910590,2011,060002910590,0600029,37.0,37.0,,0.0,0.0,,,28.0,,,,,,,
216,060002911044,2011,060002911044,0600029,36.0,36.0,,0.0,0.0,,,30.0,,,,,,,
217,060002911239,2011,060002911239,0600029,38.0,38.0,,0.0,0.0,,,29.0,,,,,,,
218,060002911241,2011,060002911241,0600029,10.0,10.0,,0.0,0.0,,,0.0,0.0,,,,,,
219,060002911249,2011,060002911249,0600029,122.0,122.0,,0.0,2.0,,,71.0,6.0,,,,,,
220,060002911921,2011,060002911921,0600029,44.0,44.0,,0.0,0.0,,,32.0,,,,,,,
221,060002912243,2011,060002912243,0600029,36.0,36.0,,0.0,1.0,,,31.0,,,,,,,
222,060002912289,2011,060002912289,0600029,96.0,96.0,,7.0,4.0,,,37.0,4.0,,,,,,
223,060003109475,2011,060003109475,0600031,5.0,4.5,,0.0,0.0,,,2.34,0.0,,,,,,
224,060003112240,2011,060003112240,0600031,3.0,3.6,,0.0,0.0,,,0.0,0.0,,,,,,
225,060003202227,2011,060003202227,0600032,6.0,6.8,,0.0,1.0,,,0.0,1.0,,,,,,
226,060003204949,2011,060003204949,0600032,36.0,36.0,,1.0,1.0,,,11.0,,,,,,,
227,060003204950,2011,060003204950,0600032,31.0,31.0,,0.0,2.0,,,2.0,,,,,,,
228,060003204951,2011,060003204951,0600032,17.0,17.0,,1.0,0.0,,,3.0,,,,,,,
229,060003204952,2011,060003204952,0600032,17.0,17.5,,1.0,0.0,,,4.0,,,,,,,
230,060003204955,2011,060003204955,0600032,35.0,35.8,,2.0,1.0,,,0.0,,,,,,,
231,060003204956,2011,060003204956,0600032,24.0,24.97,,1.0,0.0,,,10.0,,,,,,,
232,060003204957,2011,060003204957,0600032,23.0,23.0,,0.0,0.0,,,0.0,,,,,,,
233,060003204958,2011,060003204958,0600032,17.0,17.0,,0.0,0.0,,,0.0,,,,,,,
234,060003204960,2011,060003204960,0600032,18.0,18.0,,0.0,0.0,,,3.0,,,,,,,
235,060003204961,2011,060003204961,0600032,23.0,23.0,,1.0,0.0,,,3.0,,,,,,,
236,060003206330,2011,060003206330,0600032,88.0,88.4,,1.0,0.0,,,17.0,5.0,,,,,,
237,060003212165,2011,060003212165,0600032,1.0,1.1,,0.0,0.0,,,1.0,1.0,,,,,,
238,060003301255,2011,060003301255,0600033,16.0,16.0,,1.0,1.0,,,3.0,,,,,,,
239,060003301256,2011,060003301256,0600033,20.0,20.0,,0.0,0.0,,,1.0,,,,,,,
240,060003301258,2011,060003301258,0600033,23.0,23.0,,1.5,0.0,,,16.0,2.0,,,,,,
241,060003304680,2011,060003304680,0600033,16.0,16.0,,0.0,0.0,,,2.0,,,,,,,
242,060003307695,2011,060003307695,0600033,3.0,3.0,,0.0,0.0,,,0.0,0.0,,,,,,
243,060003312656,2011,060003312656,0600033,1.0,1.0,,0.0,0.0,,,0.0,0.0,,,,,,
244,060003401797,2011,060003401797,0600034,19.0,19.6,,0.0,0.0,,,5.5,,,,,,,
245,060003405470,2011,060003405470,0600034,65.0,65.66,,2.0,0.0,,,8.5,3.8,,,,,,
246,060003406982,2011,060003406982,0600034,38.0,38.9,,1.0,0.0,,,11.6,,,,,,,
247,060003406983,2011,060003406983,0600034,43.0,43.46,,0.0,0.0,,,7.0,,,,,,,
248,060003408407,2011,060003408407,0600034,23.0,23.0,,0.0,0.0,,,3.6,,,,,,,
249,060003408652,2011,060003408652,0600034,6.0,6.4,,0.0,0.0,,,0.0,0.5,,,,,,
250,060003409465,2011,060003409465,0600034,23.0,23.76,,0.0,0.0,,,3.0,,,,,,,
251,060003501547,2011,060003501547,0600035,31.0,31.0,,3.0,3.0,,,6.0,,,,,,,
252,060003501548,2011,060003501548,0600035,20.0,20.3,,0.0,0.0,,,5.0,,,,,,,
253,060003501549,2011,060003501549,0600035,21.0,21.0,,1.0,0.0,,,6.0,,,,,,,
254,060003507903,2011,060003507903,0600035,30.0,27.71,,4.0,4.0,,,9.71,3.0,,,,,,
255,060003508425,2011,060003508425,0600035,4.0,4.0,,0.0,0.0,,,2.0,0.0,,,,,,
256,060003511532,2011,060003511532,0600035,22.0,22.0,,2.0,0.0,,,6.0,,,,,,,
257,060003601095,2011,060003601095,0600036,19.0,19.84,,0.0,0.0,,,5.0,,,,,,,
258,060003601108,2011,060003601108,0600036,17.0,17.5,,0.0,0.0,,,3.0,,,,,,,
259,060003601114,2011,060003601114,0600036,23.0,23.5,,0.0,0.0,,,6.0,,,,,,,
260,060003603755,2011,060003603755,0600036,50.0,50.3,,2.0,3.0,,,23.0,2.0,,,,,,
261,060003606335,2011,060003606335,0600036,4.0,4.0,,3.0,0.0,,,4.0,1.0,,,,,,
262,060003607250,2011,060003607250,0600036,52.0,52.71,,2.2,1.0,,,0.0,2.0,,,,,,
263,060003608582,2011,060003608582,0600036,43.0,43.1,,0.0,0.0,,,7.0,,,,,,,
264,060003608583,2011,060003608583,0600036,28.0,28.0,,0.0,2.0,,,16.0,,,,,,,
265,060003610359,2011,060003610359,0600036,19.0,19.0,,0.0,0.0,,,12.0,,,,,,,
266,060003611084,2011,060003611084,0600036,59.0,59.6,,0.0,2.0,,,19.0,4.0,,,,,,
267,060003611085,2011,060003611085,0600036,31.0,31.0,,0.0,0.0,,,6.0,,,,,,,
