,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
78,60133201987.0,2011,601332.0,99,99,10.0,230.0,38.636503,-121.433931,2025.0,GRANT UNION HIGH,11.358024691358025,060133201987,95.0,0.04705274043433299,0.0018097207859358842,49221.72631578947
79,60133201988.0,2011,601332.0,99,99,68.0,43.0,38.687567,-121.357707,862.0,HIGHLANDS HIGH,4.988399071925754,060133201988,45.0,0.05383580080753701,0.0011843876177658143,41938.066666666666
80,60133201991.0,2011,601332.0,99,99,28.0,201.0,38.682083,-121.438464,1818.0,RIO LINDA HIGH,11.056105610561056,060133201991,95.0,0.04942736588306208,0.002109704641350211,49958.768421052635
81,60133902078.0,2011,601339.0,99,99,6.0,33.0,39.745455,-122.019033,292.0,HAMILTON HIGH,11.301369863013697,060133902078,14.0,0.060498220640569395,0.0,102778.42857142857
82,60140900491.0,2011,601409.0,99,99,17.0,64.0,37.363261,-118.398215,667.0,BISHOP UNION HIGH,9.5952023988006,060140900491,24.0,0.04946996466431095,0.0,72130.91666666667
83,60162000002.0,2011,601620.0,99,99,51.0,110.0,33.845143,-118.073074,1452.0,ARTESIA HIGH,7.575757575757576,060162000002,70.0,0.04993252361673414,0.0,74857.12857142858
84,60162000010.0,2011,601620.0,99,99,62.0,794.0,33.86497,-118.065079,2190.0,CERRITOS HIGH,36.25570776255708,060162000010,90.0,0.042086001829826164,0.0,82354.6888888889
85,60162000014.0,2011,601620.0,99,99,58.0,339.0,33.873866,-118.094684,2010.0,RICHARD GAHR HIGH,16.865671641791042,060162000014,83.0,0.04245524296675192,0.0,87114.30120481928
86,60162000029.0,2011,601620.0,99,99,10.0,388.0,33.87802,-118.054413,1021.0,GRETCHEN WHITNEY HIGH,38.00195886385897,060162000029,42.0,0.04265873015873016,0.0,91210.26190476191
87,60165000032.0,2011,601650.0,99,99,30.0,459.0,37.904563,-122.096973,1386.0,ACALANES HIGH,33.116883116883116,060165000032,64.0,0.054466230936819175,0.0007262164124909223,79119.515625
