ncessch,year,leaid,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name
60744000701.0,2011,607440.0,99,99,25.0,413.0,33.44079,-117.615168,3017.0,SAN CLEMENTE HIGH
60744002328.0,2011,607440.0,99,99,31.0,722.0,33.560785,-117.719134,2972.0,ALISO NIGUEL HIGH
60744008750.0,2011,607440.0,99,99,25.0,666.0,33.581934,-117.612538,2442.0,TESORO HIGH
60744010983.0,2011,607440.0,99,99,60.0,28.0,33.572652,-117.730548,1593.0,CAPISTRANO CONNECTIONS ACADEMY CHARTER
60744011854.0,2011,607440.0,99,99,33.0,459.0,33.502357,-117.624344,1929.0,SAN JUAN HILLS HIGH
60750000709.0,2011,607500.0,99,99,108.0,1164.0,33.163664,-117.329296,3049.0,CARLSBAD HIGH
60750008311.0,2011,607500.0,99,99,2.0,13.0,33.157908,-117.329804,60.0,CARLSBAD SEASIDE ACADEMY
60753000718.0,2011,607530.0,99,99,8.0,347.0,36.554968,-121.90934,794.0,CARMEL HIGH
60756000727.0,2011,607560.0,99,99,16.0,136.0,34.410362,-119.516646,698.0,CARPINTERIA SENIOR HIGH
60780000742.0,2011,607800.0,99,99,0.0,438.0,37.704994,-122.076317,2924.0,CASTRO VALLEY HIGH
60790008805.0,2011,607900.0,99,99,74.0,88.0,38.719718,-121.389996,1332.0,CENTER HIGH
60792000756.0,2011,607920.0,99,99,0.0,0.0,33.917544,-118.363381,1947.0,HAWTHORNE HIGH
60792000759.0,2011,607920.0,99,99,0.0,0.0,33.901453,-118.346974,1549.0,LEUZINGER HIGH
60792007515.0,2011,607920.0,99,99,0.0,0.0,33.89632,-118.361631,2161.0,LAWNDALE HIGH
60797005777.0,2011,607970.0,99,99,54.0,258.0,36.788121,-119.883303,3972.0,CENTRAL HIGH EAST CAMPUS
,2011,,99,99,34.0,116.0,,,,
60801000771.0,2011,608010.0,99,99,191.0,158.0,32.788399,-115.564573,1813.0,CENTRAL UNION HIGH
60801004486.0,2011,608010.0,99,99,103.0,174.0,32.776606,-115.580267,2088.0,SOUTHWEST HIGH
60813000785.0,2011,608130.0,99,99,0.0,123.0,37.59648,-120.954568,1421.0,CERES HIGH
60813011488.0,2011,608130.0,99,99,0.0,6.0,37.583918,-120.932881,132.0,WHITMORE CHARTER HIGH
60813011489.0,2011,608130.0,99,99,0.0,311.0,37.578978,-120.959502,1690.0,CENTRAL VALLEY HIGH
60816000790.0,2011,608160.0,99,99,73.0,346.0,34.122252,-117.611611,2748.0,ALTA LOMA HIGH
